회사명,공장대표주소,업종명,생산품
주식회사 머치베리,서울특별시 성동구 성수일로 55 (성수동1가) SK테크노빌딩 1층 102호,기타 주변기기 제조업,도서관리시스템
주식회사 모우컴,"서울특별시 성동구 성수이로 66, 607호(성수동2가, 서울숲 드림타워) 607호",기타 인쇄업,라벨
주식회사 미소모형,"서울특별시 성동구 성수일로12길 34, 2층 (성수동2가)",전시용 모형 제조업,건축모형
주식회사 민성피앤아이,"서울특별시 성동구 아차산로9길 19, 1,2층 (성수동2가)",경 인쇄업 외 1 종,화장품 케이스
주식회사 벨코,"서울특별시 성동구 연무장5길 19, 1층 (성수동2가)",일반용 전기 조명장치 제조업,조명장치
주식회사 보노에어,"서울특별시 성동구 연무장길 76, 803호(성수동2가, 성수 AK 밸리) 803호","물질 검사, 측정 및 분석기구 제조업",가스센서
주식회사 보노에어,"서울특별시 성동구 상원12길 34, 323호(성수동1가) 323호","물질 검사, 측정 및 분석기구 제조업",가스센서
주식회사 보다텍(지점),"서울특별시 성동구 성수일로10길 8, 3층 303호 (성수동2가) 3층 303호",방송장비 제조업 외 7 종,폐쇄회로 주변기기
주식회사 볼텀,"서울특별시 성동구 동일로 89, 한진빌딩 500호 (성수동2가)",그 외 자동차용 신품 부품 제조업 외 3 종,차량용 엑세서리(송풍구형 스마트폰 거치대)
주식회사 뷰테크글로벌,"서울특별시 성동구 아차산로 3, 402호,403호(성수동1가, 성수동 아파트형 공장 두앤캔 하우스) 402호,403호",그 외 기타 의료용 기기 제조업,"미용기기, 의료기기"
주식회사 비비드앤컴퍼니,"서울특별시 성동구 광나루로 130, 402호 (성수동1가, 성수동1가 671-41 공장 (롯데자산개발(주)))",액체 여과기 제조업,"비타민샤워필터,정수필터"
주식회사 사일로랩,"서울특별시 성동구 연무장길 76, B301호(성수동2가, 성수 AK 밸리) B301호",전시 및 광고용 조명장치 제조업,전시 및 광고용 조명장치
주식회사 서진씨앤피,"서울특별시 성동구 아차산로 144, B102호(성수동2가, 우영테크노센터) B102호",그 외 기타 종이 및 판지 제품 제조업,"라벨, 스티커"
주식회사 선익물산,"서울특별시 성동구 성수이로7가길 6, 2층 (성수동2가)",구두류 제조업,구두류 등
주식회사 세종티에프,"서울특별시 성동구 독서당로 212, 2층 (옥수동)",셔츠 및 블라우스 제조업 외 1 종,남성셔츠
주식회사 소닉펄스,서울특별시 성동구 성수일로12길 29 (성수동2가),기타 전기 변환장치 제조업 외 3 종,초음파스케일방지기
주식회사 수덕레벨,"서울특별시 성동구 서울숲6길 8-1 (성수동1가, 정수목욕탕)",산업처리공정 제어장비 제조업,레벨(수위조절기)
주식회사 쉬엔비,"서울특별시 성동구 아차산로 74, 6층, 7층(성수동2가, SHENB 타워)",전기식 진단 및 요법 기기 제조업 외 1 종,"의료기기, 미용기기"
주식회사 신세계와이비에스,"서울특별시 성동구 자동차시장1길 18, 지하1,2층 (용답동)",그 외 기타 봉제의복 제조업,봉제의복제조업
주식회사 심플솔루션,"서울특별시 성동구 성수일로 89, 201호(성수동1가, Metamorpho(지식산업센터))",기타 무선 통신장비 제조업 외 2 종,유무선 네트워크 보안장비
주식회사 씨에이치인더스트리,"서울특별시 성동구 성수이로 66, 306호 (성수동2가, 성수동2가 323 지식산업센터)",침구 및 관련제품 제조업 외 1 종,"침구류,커튼류 등"
주식회사 씨인터내셔널,서울특별시 성동구 상원12길 21 (성수동1가) 외 1필지,여자용 겉옷 제조업,의류
주식회사 아르스루퍼,"서울특별시 성동구 광나루로8길 31, 비105호 (성수동2가)",방송장비 제조업 외 1 종,"방송장비, 기타무선 통신장비"
주식회사 아이민컴퍼니,"서울특별시 성동구 광나루로 130, B112호(서울숲아이티캐슬) (성수동1가)",기타 비알코올 음료 제조업,과채음료제조
주식회사 아이아이컴바인드,서울특별시 성동구 동일로 61 (성수동2가) 외 1필지,전시용 모형 제조업,설치미술작품
주식회사 아크솔루션스,"서울특별시 성동구 광나루로8길 10, 701호, 702호, 703호 (성수동2가, 에이스성수타워1) 701호, 702호, 703호",산업용 로봇 제조업,청소용 로봇
주식회사 아키텍,"서울특별시 성동구 광나루로 210, 3층 (성수동2가)",전시용 모형 제조업,교시용 모형
